Indicator,Sub-Indicator,Date,Value
Interest Rate on Deposits and Loans in USD,Other Deposits,2022-06-01,4.170
Interest Rate on Deposits and Loans in USD,Overdraft,2022-06-01,4.740
Interest Rate on Deposits and Loans in USD,Credit Card,2022-06-01,7.060
Interest Rate on Deposits and Loans in USD,Term Loans,2022-06-01,18.140
Interest Rate on Deposits and Loans in USD,Other Loans,2022-06-01,8.480
Interest Rate on Deposits and Loans in USD,Demand Deposits,2022-06-01,6.130
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2022-06-01,0.400
Interest Rate on Deposits and Loans in KHR,Term Deposits,2022-06-01,0.970
Interest Rate on Deposits and Loans in KHR,Other Deposits,2022-06-01,6.240
Interest Rate on Deposits and Loans in KHR,Overdraft,2022-06-01,5.750
Interest Rate on Deposits and Loans in KHR,Credit Card,2022-06-01,8.630
Interest Rate on Deposits and Loans in KHR,Term Loans,2022-06-01,14.720
Interest Rate on Deposits and Loans in KHR,Other Loans,2022-06-01,10.640
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2022-06-01,6.420
Interest Rate on Deposits and Loans in USD,Saving Deposits,2022-06-01,0.400
Interest Rate on Deposits and Loans in USD,Term Deposits,2022-06-01,0.570
Interest Rate on Deposits and Loans in USD,Other Deposits,2022-06-01,4.700
Interest Rate on Deposits and Loans in USD,Overdraft,2022-06-01,2.650
Interest Rate on Deposits and Loans in USD,Credit Card,2022-06-01,7.380
Interest Rate on Deposits and Loans in USD,Term Loans,2022-06-01,16.580
Interest Rate on Deposits and Loans in USD,Other Loans,2022-06-01,9.030
Interest Rate on Deposits and Loans in USD,Demand Deposits,2022-06-01,6.810
Interest Rate on Deposits and Loans in USD,Saving Deposits,2022-06-01,
Interest Rate on Deposits and Loans in KHR,Term Deposits,2022-07-01,0.100
Interest Rate on Deposits and Loans in KHR,Other Deposits,2022-07-01,0.750
Interest Rate on Deposits and Loans in KHR,Overdraft,2022-07-01,5.630
Interest Rate on Deposits and Loans in KHR,Credit Card,2022-07-01,0.930
Interest Rate on Deposits and Loans in KHR,Term Loans,2022-07-01,9.540
Interest Rate on Deposits and Loans in KHR,Other Loans,2022-07-01,14.710
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2022-07-01,11.330
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2022-07-01,5.630
Interest Rate on Deposits and Loans in USD,Term Deposits,2022-07-01,0.200
Interest Rate on Deposits and Loans in USD,Other Deposits,2022-07-01,0.220
Interest Rate on Deposits and Loans in USD,Overdraft,2022-07-01,4.240
Interest Rate on Deposits and Loans in USD,Credit Card,2022-07-01,2.090
Interest Rate on Deposits and Loans in USD,Term Loans,2022-07-01,7.140
Interest Rate on Deposits and Loans in USD,Other Loans,2022-07-01,17.620
Interest Rate on Deposits and Loans in USD,Demand Deposits,2022-07-01,9.180
Interest Rate on Deposits and Loans in USD,Saving Deposits,2022-07-01,6.350
Interest Rate on Deposits and Loans in KHR,Term Deposits,2022-07-01,0.410
Interest Rate on Deposits and Loans in KHR,Other Deposits,2022-07-01,1.020
Interest Rate on Deposits and Loans in KHR,Overdraft,2022-07-01,6.270
Interest Rate on Deposits and Loans in KHR,Credit Card,2022-07-01,1.510
Interest Rate on Deposits and Loans in KHR,Term Loans,2022-07-01,8.590
Interest Rate on Deposits and Loans in KHR,Other Loans,2022-07-01,14.680
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2022-07-01,10.600
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2022-07-01,6.410
Interest Rate on Deposits and Loans in USD,Term Deposits,2022-07-01,0.430
Interest Rate on Deposits and Loans in USD,Other Deposits,2022-07-01,0.560
Interest Rate on Deposits and Loans in USD,Overdraft,2022-07-01,4.770
Interest Rate on Deposits and Loans in USD,Credit Card,2022-07-01,1.240
Interest Rate on Deposits and Loans in USD,Term Loans,2022-07-01,7.410
Interest Rate on Deposits and Loans in USD,Other Loans,2022-07-01,16.390
Interest Rate on Deposits and Loans in USD,Demand Deposits,2022-07-01,9.160
Interest Rate on Deposits and Loans in USD,Saving Deposits,2022-07-01,6.790
Interest Rate on Deposits and Loans in USD,Term Deposits,2022-07-01,
Interest Rate on Deposits and Loans in KHR,Other Deposits,2022-08-01,0.090
Interest Rate on Deposits and Loans in KHR,Overdraft,2022-08-01,0.730
Interest Rate on Deposits and Loans in KHR,Credit Card,2022-08-01,6.780
Interest Rate on Deposits and Loans in KHR,Term Loans,2022-08-01,2.310
Interest Rate on Deposits and Loans in KHR,Other Loans,2022-08-01,9.870
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2022-08-01,14.730
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2022-08-01,11.590
Interest Rate on Deposits and Loans in KHR,Term Deposits,2022-08-01,6.990
Interest Rate on Deposits and Loans in USD,Other Deposits,2022-08-01,0.180
Interest Rate on Deposits and Loans in USD,Overdraft,2022-08-01,0.220
Interest Rate on Deposits and Loans in USD,Credit Card,2022-08-01,4.440
Interest Rate on Deposits and Loans in USD,Term Loans,2022-08-01,4.300
Interest Rate on Deposits and Loans in USD,Other Loans,2022-08-01,8.080
Interest Rate on Deposits and Loans in USD,Demand Deposits,2022-08-01,17.580
Interest Rate on Deposits and Loans in USD,Saving Deposits,2022-08-01,9.390
Interest Rate on Deposits and Loans in USD,Term Deposits,2022-08-01,6.330
Interest Rate on Deposits and Loans in KHR,Other Deposits,2022-08-01,0.460
Interest Rate on Deposits and Loans in KHR,Overdraft,2022-08-01,1.020
Interest Rate on Deposits and Loans in KHR,Credit Card,2022-08-01,6.300
Interest Rate on Deposits and Loans in KHR,Term Loans,2022-08-01,1.490
Interest Rate on Deposits and Loans in KHR,Other Loans,2022-08-01,8.600
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2022-08-01,14.680
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2022-08-01,10.600
Interest Rate on Deposits and Loans in KHR,Term Deposits,2022-08-01,6.400
Interest Rate on Deposits and Loans in USD,Other Deposits,2022-08-01,0.420
Interest Rate on Deposits and Loans in USD,Overdraft,2022-08-01,0.560
Interest Rate on Deposits and Loans in USD,Credit Card,2022-08-01,4.830
Interest Rate on Deposits and Loans in USD,Term Loans,2022-08-01,1.950
Interest Rate on Deposits and Loans in USD,Other Loans,2022-08-01,7.370
Interest Rate on Deposits and Loans in USD,Demand Deposits,2022-08-01,16.270
Interest Rate on Deposits and Loans in USD,Saving Deposits,2022-08-01,9.150
Interest Rate on Deposits and Loans in USD,Term Deposits,2022-08-01,6.780
Interest Rate on Deposits and Loans in USD,Other Deposits,2022-08-01,
Interest Rate on Deposits and Loans in KHR,Overdraft,2022-09-01,0.170
Interest Rate on Deposits and Loans in KHR,Credit Card,2022-09-01,0.770
Interest Rate on Deposits and Loans in KHR,Term Loans,2022-09-01,5.900
Interest Rate on Deposits and Loans in KHR,Other Loans,2022-09-01,4.970
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2022-09-01,13.610
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2022-09-01,12.960
Interest Rate on Deposits and Loans in KHR,Term Deposits,2022-09-01,11.600
Interest Rate on Deposits and Loans in KHR,Other Deposits,2022-09-01,7.020
Interest Rate on Deposits and Loans in USD,Overdraft,2022-09-01,0.180
Interest Rate on Deposits and Loans in USD,Credit Card,2022-09-01,0.220
Interest Rate on Deposits and Loans in USD,Term Loans,2022-09-01,4.720
Interest Rate on Deposits and Loans in USD,Other Loans,2022-09-01,4.420
Interest Rate on Deposits and Loans in USD,Demand Deposits,2022-09-01,7.560
Interest Rate on Deposits and Loans in USD,Saving Deposits,2022-09-01,17.370
Interest Rate on Deposits and Loans in USD,Term Deposits,2022-09-01,11.450
Interest Rate on Deposits and Loans in USD,Other Deposits,2022-09-01,6.040
Interest Rate on Deposits and Loans in KHR,Overdraft,2022-09-01,0.450
Interest Rate on Deposits and Loans in KHR,Credit Card,2022-09-01,1.020
Interest Rate on Deposits and Loans in KHR,Term Loans,2022-09-01,6.370
Interest Rate on Deposits and Loans in KHR,Other Loans,2022-09-01,1.390
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2022-09-01,8.570
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2022-09-01,14.280
Interest Rate on Deposits and Loans in KHR,Term Deposits,2022-09-01,10.600
Interest Rate on Deposits and Loans in KHR,Other Deposits,2022-09-01,6.770
Interest Rate on Deposits and Loans in USD,Overdraft,2022-09-01,0.440
Interest Rate on Deposits and Loans in USD,Credit Card,2022-09-01,0.580
Interest Rate on Deposits and Loans in USD,Term Loans,2022-09-01,4.910
Interest Rate on Deposits and Loans in USD,Other Loans,2022-09-01,1.050
Interest Rate on Deposits and Loans in USD,Demand Deposits,2022-09-01,7.390
Interest Rate on Deposits and Loans in USD,Saving Deposits,2022-09-01,16.640
Interest Rate on Deposits and Loans in USD,Term Deposits,2022-09-01,9.160
Interest Rate on Deposits and Loans in USD,Other Deposits,2022-09-01,7.080
Interest Rate on Deposits and Loans in USD,Overdraft,2022-09-01,
Interest Rate on Deposits and Loans in KHR,Credit Card,2022-10-01,0.200
Interest Rate on Deposits and Loans in KHR,Term Loans,2022-10-01,0.700
Interest Rate on Deposits and Loans in KHR,Other Loans,2022-10-01,6.050
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2022-10-01,5.170
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2022-10-01,10.640
Interest Rate on Deposits and Loans in KHR,Term Deposits,2022-10-01,13.110
Interest Rate on Deposits and Loans in KHR,Other Deposits,2022-10-01,11.550
Interest Rate on Deposits and Loans in KHR,Overdraft,2022-10-01,6.840
Interest Rate on Deposits and Loans in USD,Credit Card,2022-10-01,0.200
Interest Rate on Deposits and Loans in USD,Term Loans,2022-10-01,0.460
Interest Rate on Deposits and Loans in USD,Other Loans,2022-10-01,4.780
Interest Rate on Deposits and Loans in USD,Demand Deposits,2022-10-01,6.180
Interest Rate on Deposits and Loans in USD,Saving Deposits,2022-10-01,7.450
Interest Rate on Deposits and Loans in USD,Term Deposits,2022-10-01,18.540
Interest Rate on Deposits and Loans in USD,Other Deposits,2022-10-01,9.730
Interest Rate on Deposits and Loans in USD,Overdraft,2022-10-01,6.700
Interest Rate on Deposits and Loans in KHR,Credit Card,2022-10-01,0.500
Interest Rate on Deposits and Loans in KHR,Term Loans,2022-10-01,1.060
Interest Rate on Deposits and Loans in KHR,Other Loans,2022-10-01,6.450
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2022-10-01,1.240
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2022-10-01,8.590
Interest Rate on Deposits and Loans in KHR,Term Deposits,2022-10-01,14.240
Interest Rate on Deposits and Loans in KHR,Other Deposits,2022-10-01,10.610
Interest Rate on Deposits and Loans in KHR,Overdraft,2022-10-01,6.410
Interest Rate on Deposits and Loans in USD,Credit Card,2022-10-01,0.520
Interest Rate on Deposits and Loans in USD,Term Loans,2022-10-01,0.610
Interest Rate on Deposits and Loans in USD,Other Loans,2022-10-01,4.990
Interest Rate on Deposits and Loans in USD,Demand Deposits,2022-10-01,1.330
Interest Rate on Deposits and Loans in USD,Saving Deposits,2022-10-01,7.370
Interest Rate on Deposits and Loans in USD,Term Deposits,2022-10-01,16.260
Interest Rate on Deposits and Loans in USD,Other Deposits,2022-10-01,9.180
Interest Rate on Deposits and Loans in USD,Overdraft,2022-10-01,6.840
Interest Rate on Deposits and Loans in USD,Credit Card,2022-10-01,
Interest Rate on Deposits and Loans in KHR,Term Loans,2022-11-01,0.200
Interest Rate on Deposits and Loans in KHR,Other Loans,2022-11-01,0.810
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2022-11-01,6.390
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2022-11-01,5.640
Interest Rate on Deposits and Loans in KHR,Term Deposits,2022-11-01,7.440
Interest Rate on Deposits and Loans in KHR,Other Deposits,2022-11-01,14.130
Interest Rate on Deposits and Loans in KHR,Overdraft,2022-11-01,11.380
Interest Rate on Deposits and Loans in KHR,Credit Card,2022-11-01,7.180
Interest Rate on Deposits and Loans in USD,Term Loans,2022-11-01,0.250
Interest Rate on Deposits and Loans in USD,Other Loans,2022-11-01,0.240
Interest Rate on Deposits and Loans in USD,Demand Deposits,2022-11-01,5.120
Interest Rate on Deposits and Loans in USD,Saving Deposits,2022-11-01,6.290
Interest Rate on Deposits and Loans in USD,Term Deposits,2022-11-01,7.480
Interest Rate on Deposits and Loans in USD,Other Deposits,2022-11-01,17.680
Interest Rate on Deposits and Loans in USD,Overdraft,2022-11-01,9.490
Interest Rate on Deposits and Loans in USD,Credit Card,2022-11-01,6.630
Interest Rate on Deposits and Loans in KHR,Term Loans,2022-11-01,0.550
Interest Rate on Deposits and Loans in KHR,Other Loans,2022-11-01,0.920
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2022-11-01,6.510
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2022-11-01,2.170
Interest Rate on Deposits and Loans in KHR,Term Deposits,2022-11-01,8.330
Interest Rate on Deposits and Loans in KHR,Other Deposits,2022-11-01,14.360
Interest Rate on Deposits and Loans in KHR,Overdraft,2022-11-01,10.610
Interest Rate on Deposits and Loans in KHR,Credit Card,2022-11-01,6.610
Interest Rate on Deposits and Loans in USD,Term Loans,2022-11-01,0.560
Interest Rate on Deposits and Loans in USD,Other Loans,2022-11-01,0.550
Interest Rate on Deposits and Loans in USD,Demand Deposits,2022-11-01,5.100
Interest Rate on Deposits and Loans in USD,Saving Deposits,2022-11-01,2.350
Interest Rate on Deposits and Loans in USD,Term Deposits,2022-11-01,7.360
Interest Rate on Deposits and Loans in USD,Other Deposits,2022-11-01,16.190
Interest Rate on Deposits and Loans in USD,Overdraft,2022-11-01,9.180
Interest Rate on Deposits and Loans in USD,Credit Card,2022-11-01,6.890
Interest Rate on Deposits and Loans in USD,Term Loans,2022-11-01,
Interest Rate on Deposits and Loans in KHR,Other Loans,2022-12-01,0.290
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2022-12-01,0.850
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2022-12-01,6.120
Interest Rate on Deposits and Loans in KHR,Term Deposits,2022-12-01,7.160
Interest Rate on Deposits and Loans in KHR,Other Deposits,2022-12-01,7.380
Interest Rate on Deposits and Loans in KHR,Overdraft,2022-12-01,15.660
Interest Rate on Deposits and Loans in KHR,Credit Card,2022-12-01,10.880
Interest Rate on Deposits and Loans in KHR,Term Loans,2022-12-01,5.240
Interest Rate on Deposits and Loans in USD,Other Loans,2022-12-01,0.320
Interest Rate on Deposits and Loans in USD,Demand Deposits,2022-12-01,0.300
Interest Rate on Deposits and Loans in USD,Saving Deposits,2022-12-01,5.590
Interest Rate on Deposits and Loans in USD,Term Deposits,2022-12-01,6.570
Interest Rate on Deposits and Loans in USD,Other Deposits,2022-12-01,7.680
Interest Rate on Deposits and Loans in USD,Overdraft,2022-12-01,17.450
Interest Rate on Deposits and Loans in USD,Credit Card,2022-12-01,9.100
Interest Rate on Deposits and Loans in USD,Term Loans,2022-12-01,6.670
Interest Rate on Deposits and Loans in KHR,Other Loans,2022-12-01,0.540
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2022-12-01,1.120
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2022-12-01,6.630
Interest Rate on Deposits and Loans in KHR,Term Deposits,2022-12-01,2.230
Interest Rate on Deposits and Loans in KHR,Other Deposits,2022-12-01,8.480
Interest Rate on Deposits and Loans in KHR,Overdraft,2022-12-01,14.260
Interest Rate on Deposits and Loans in KHR,Credit Card,2022-12-01,10.620
Interest Rate on Deposits and Loans in KHR,Term Loans,2022-12-01,6.460
Interest Rate on Deposits and Loans in USD,Other Loans,2022-12-01,0.600
Interest Rate on Deposits and Loans in USD,Demand Deposits,2022-12-01,0.650
Interest Rate on Deposits and Loans in USD,Saving Deposits,2022-12-01,5.260
Interest Rate on Deposits and Loans in USD,Term Deposits,2022-12-01,2.760
Interest Rate on Deposits and Loans in USD,Other Deposits,2022-12-01,7.380
Interest Rate on Deposits and Loans in USD,Overdraft,2022-12-01,16.130
Interest Rate on Deposits and Loans in USD,Credit Card,2022-12-01,9.220
Interest Rate on Deposits and Loans in USD,Term Loans,2022-12-01,6.860
Interest Rate on Deposits and Loans in USD,Other Loans,2022-12-01,
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2023-01-01,0.190
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2023-01-01,0.850
Interest Rate on Deposits and Loans in KHR,Term Deposits,2023-01-01,6.290
Interest Rate on Deposits and Loans in KHR,Other Deposits,2023-01-01,6.320
Interest Rate on Deposits and Loans in KHR,Overdraft,2023-01-01,7.990
Interest Rate on Deposits and Loans in KHR,Credit Card,2023-01-01,12.720
Interest Rate on Deposits and Loans in KHR,Term Loans,2023-01-01,12.030
Interest Rate on Deposits and Loans in KHR,Other Loans,2023-01-01,7.540
Interest Rate on Deposits and Loans in USD,Demand Deposits,2023-01-01,0.290
Interest Rate on Deposits and Loans in USD,Saving Deposits,2023-01-01,0.280
Interest Rate on Deposits and Loans in USD,Term Deposits,2023-01-01,5.280
Interest Rate on Deposits and Loans in USD,Other Deposits,2023-01-01,5.750
Interest Rate on Deposits and Loans in USD,Overdraft,2023-01-01,7.390
Interest Rate on Deposits and Loans in USD,Credit Card,2023-01-01,18.020
Interest Rate on Deposits and Loans in USD,Term Loans,2023-01-01,9.880
Interest Rate on Deposits and Loans in USD,Other Loans,2023-01-01,6.780
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2023-01-01,0.420
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2023-01-01,1.180
